Muestra_ID,Especie,Tratamiento,Replica,Gen_marcador,Longitud_gen_bp,GC_pct,Cobertura_x,Expresion_relativa,Temperatura_C,Sitio
M001,Escherichia coli,Control,1,rpoB,4110,50.1,72.1,1.99,36.9,Laboratorio_C
M002,Escherichia coli,Control,2,rpoB,3833,50.8,73.2,2.24,37.2,Laboratorio_C
M003,Escherichia coli,Control,3,rpoB,3988,47.9,72.7,1.75,37.2,Laboratorio_C
M004,Escherichia coli,Control,4,rpoB,4097,49.7,93.1,,36.9,Laboratorio_A
M005,Escherichia coli,Calor,1,rpoB,3872,49.4,76.8,3.25,41.6,Laboratorio_B
M006,Escherichia coli,Calor,2,rpoB,3939,,65.9,4.77,41.9,Laboratorio_A
M007,Escherichia coli,Calor,3,rpoB,4047,51.4,124.8,4.95,41.6,Laboratorio_B
M008,Escherichia coli,Calor,4,rpoB,4052,52.7,89.9,7.51,42.2,Laboratorio_A
M009,Escherichia coli,,1,rpoB,4019,50.8,72.9,2.26,30.2,Laboratorio_C
M010,Escherichia coli,Frio,2,rpoB,4024,50.5,116.5,2.16,29.6,Laboratorio_C
M011,Escherichia coli,Frio,3,rpoB,4008,50.8,80.3,2.36,30.0,Laboratorio_B
M012,Escherichia coli,Frio,4,rpoB,3935,49.2,98.1,1.77,30.1,Laboratorio_C
M013,Bacillus subtilis,Control,1,gyrB,1912,45.8,,4.02,37.4,Laboratorio_A
M014,Bacillus subtilis,Control,2,gyrB,1840,42.6,69.6,1.75,37.2,Laboratorio_C
M015,Bacillus subtilis,Control,3,gyrB,1944,42.2,124.5,1.66,37.3,Laboratorio_B
M016,Bacillus subtilis,Control,4,gyrB,1880,44.1,78.3,,36.9,Laboratorio_A
M017,Bacillus subtilis,Calor,1,gyrB,1949,46.0,98.8,5.94,42.3,Laboratorio_A
M018,Bacillus subtilis,Calor,2,gyrB,1965,,67.8,1.96,42.2,Laboratorio_A
M019,Bacillus subtilis,Calor,3,gyrB,1876,44.1,125.5,5.61,41.5,Laboratorio_A
M020,Bacillus subtilis,Calor,4,gyrB,1971,42.5,135.1,1.98,41.8,Laboratorio_C
M021,Bacillus subtilis,Frio,1,gyrB,1960,42.5,131.7,2.56,29.5,Laboratorio_B
M022,Bacillus subtilis,Frio,2,gyrB,1943,44.8,132.2,1.88,30.0,Laboratorio_A
M023,Bacillus subtilis,Frio,3,gyrB,1897,43.0,157.6,1.04,29.9,
M024,Bacillus subtilis,Frio,4,gyrB,1879,43.6,111.5,1.37,29.7,Laboratorio_C
M025,Pseudomonas aeruginosa,Control,1,recA,1045,66.7,47.6,1.95,36.7,Laboratorio_B
M026,Pseudomonas aeruginosa,Control,2,recA,1045,65.9,107.9,2.03,36.8,Laboratorio_C
M027,Pseudomonas aeruginosa,Control,3,recA,1038,67.6,275.0,12.8,37.3,Laboratorio_C
M028,Pseudomonas aeruginosa,Control,4,recA,1059,66.9,114.9,1.89,37.3,Laboratorio_A
M029,Pseudomonas aeruginosa,Calor,1,recA,1047,63.9,68.6,4.23,41.6,Laboratorio_B
M030,Pseudomonas aeruginosa,Calor,2,recA,1026,67.8,,6.07,41.6,Laboratorio_B
M031,Pseudomonas aeruginosa,Calor,3,recA,1061,65.3,95.0,3.25,41.8,Laboratorio_A
M032,Pseudomonas aeruginosa,Calor,4,recA,1044,67.2,81.9,3.75,42.5,Laboratorio_B
M033,Pseudomonas aeruginosa,Frio,1,recA,1077,68.4,86.2,2.63,30.3,Laboratorio_B
M034,Pseudomonas aeruginosa,Frio,2,recA,1068,,157.8,0.95,29.6,Laboratorio_C
M035,Pseudomonas aeruginosa,Frio,3,recA,1031,66.0,95.8,1.95,30.3,Laboratorio_A
M036,Pseudomonas aeruginosa,Frio,4,recA,1038,67.7,112.4,1.05,29.9,Laboratorio_C
M037,Saccharomyces cerevisiae,Control,1,HSP82,2178,39.2,62.5,1.81,30.3,Laboratorio_A
M038,Saccharomyces cerevisiae,Control,2,HSP82,2091,37.3,90.2,,29.6,Laboratorio_C
M039,Saccharomyces cerevisiae,Control,3,HSP82,2184,39.6,114.7,1.15,30.1,Laboratorio_A
M040,Saccharomyces cerevisiae,Control,4,HSP82,2162,39.3,102.8,2.82,29.5,Laboratorio_C
M041,Saccharomyces cerevisiae,Calor,1,HSP82,2166,36.6,120.4,4.6,35.1,Laboratorio_A
M042,Saccharomyces cerevisiae,,2,HSP82,2084,38.3,81.3,7.26,34.5,Laboratorio_A
M043,Saccharomyces cerevisiae,Calor,3,HSP82,2130,38.4,23.3,2.68,35.1,Laboratorio_A
M044,Saccharomyces cerevisiae,Calor,4,HSP82,2141,38.6,101.2,3.53,35.0,Laboratorio_C
M045,Saccharomyces cerevisiae,Frio,1,HSP82,2141,35.4,71.4,,22.7,Laboratorio_A
M046,Saccharomyces cerevisiae,Frio,2,HSP82,2143,38.1,112.2,1.39,23.1,Laboratorio_A
M047,Saccharomyces cerevisiae,Frio,3,HSP82,2138,35.3,102.1,1.98,22.8,Laboratorio_A
M048,Saccharomyces cerevisiae,Frio,4,HSP82,2124,39.4,65.4,2.32,22.5,Laboratorio_C
